TrackMan Performance Studio — Combine
Player: Sample Player

Date,Time,Club,Target [yds],Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Low Point [in],Impact Offset [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Spin Rate [rpm],Carry [yds],Total [yds],Side [yds],Distance To Pin [yds],Score
2026-08-27,10:23:00,7i,160,84.2,-3.8,-1.6,-1.1,-3.1,25.1,3.1,0.4,111.3,1.321,17.3,6350,158.4,162.4,-1.5,8.1,74
2026-08-27,10:24:00,7i,160,80.9,-5.6,-1.3,-1.2,0.8,25.9,2.1,-0.1,108.1,1.336,17.3,5775,144.0,148.0,-4.0,20.6,34
2026-08-27,10:25:00,5i,180,88.4,-3.2,-2.2,0.7,-1.4,21.6,3.3,4.7,125.7,1.422,13.6,5298,159.3,163.3,0.0,21.9,30
2026-08-27,10:26:00,5i,180,87.7,-1.5,-0.5,-0.3,-0.0,23.2,2.1,2.6,121.0,1.380,15.1,5136,166.9,170.9,-0.8,16.0,49
2026-08-27,10:27:00,5i,180,88.2,-2.7,-0.6,-0.2,0.5,21.6,1.8,-1.4,125.5,1.422,14.1,5192,170.8,174.8,5.4,10.5,66
2026-08-27,10:28:00,Driver,,97.4,-1.4,-1.0,-2.8,-1.3,22.3,1.8,0.4,141.0,1.447,10.6,2899,234.3,252.3,-16.3,,
2026-08-27,10:29:00,Driver,,99.1,-2.7,-2.4,-2.1,-1.4,19.5,1.8,0.1,140.6,1.418,12.5,2912,234.0,252.0,-1.8,,
2026-08-27,10:30:00,Driver,,98.0,-0.9,1.1,3.0,3.0,18.4,0.2,1.2,145.5,1.485,11.6,2840,240.8,258.8,6.7,,
2026-08-27,10:31:00,SW,60,62.8,-4.5,-4.0,-3.1,0.7,38.8,2.9,-0.5,72.8,1.159,29.6,10126,50.4,54.4,-5.6,9.9,68
2026-08-27,10:32:00,SW,60,64.1,-0.7,-3.1,0.9,-1.5,37.9,1.3,2.9,74.3,1.159,29.1,10493,57.7,61.7,1.3,2.3,93
2026-08-27,10:33:00,SW,60,65.4,-1.8,-2.9,-1.3,2.6,36.6,2.4,2.8,74.3,1.137,27.8,9729,58.6,62.6,0.2,1.5,95
2026-08-27,10:34:00,SW,70,64.1,-3.8,-1.7,0.1,1.1,37.3,2.3,-5.6,74.7,1.166,32.3,9356,52.7,56.7,-1.5,17.3,45
2026-08-27,10:35:00,SW,70,63.3,-3.1,-2.0,-0.7,1.3,37.1,3.7,6.1,71.5,1.131,31.7,9742,69.9,73.9,-6.3,0.7,98
2026-08-27,10:36:00,SW,70,63.0,-4.1,0.7,-0.4,1.9,37.1,1.6,3.9,75.0,1.191,28.8,10422,61.6,65.6,0.1,9.0,71
2026-08-27,10:37:00,GW,80,70.8,-4.0,-2.8,-2.7,-0.5,36.3,2.3,9.0,82.6,1.167,29.5,8269,75.4,79.4,-4.0,4.6,85
2026-08-27,10:38:00,GW,80,68.0,-4.5,-3.4,-0.5,0.9,36.1,2.0,1.9,84.2,1.238,28.1,8852,78.0,82.0,2.3,5.2,83
2026-08-27,10:39:00,GW,80,71.5,-5.2,-0.3,-2.1,1.1,36.9,1.5,-10.3,86.7,1.212,26.3,9113,72.9,76.9,1.9,7.3,77
2026-08-27,10:40:00,GW,90,71.1,-2.4,-1.1,-2.9,0.1,36.8,2.4,3.5,84.4,1.187,29.5,9128,86.7,90.7,2.2,3.3,90
2026-08-27,10:41:00,GW,90,66.8,-4.1,-2.1,0.7,0.9,37.1,3.9,-10.7,81.3,1.217,28.1,8196,76.7,80.7,-1.3,13.4,57
2026-08-27,10:42:00,GW,90,72.2,-2.5,-4.2,2.1,2.2,37.3,1.0,1.0,88.8,1.229,28.2,9551,81.2,85.2,0.1,8.9,72
2026-08-27,10:43:00,PW,100,73.9,-1.5,-5.3,-1.9,1.7,35.4,1.7,-6.0,89.0,1.205,26.6,9082,92.2,96.2,-3.2,8.2,74
2026-08-27,10:44:00,PW,100,73.7,-4.1,-0.1,-1.4,2.9,31.8,2.8,7.6,89.4,1.214,25.8,8418,101.1,105.1,2.3,1.6,95
2026-08-27,10:45:00,PW,100,73.7,-3.9,-3.4,-1.6,1.1,33.9,1.9,0.7,91.0,1.235,23.3,9086,87.6,91.6,-0.9,12.7,59
2026-08-27,10:46:00,9i,120,76.4,-2.8,-3.3,0.6,2.4,27.9,1.7,2.1,98.3,1.286,22.5,7765,115.0,119.0,0.6,7.8,75
2026-08-27,10:47:00,9i,120,78.1,-1.7,2.4,-2.3,3.2,32.0,4.6,2.7,99.6,1.276,23.9,7290,115.7,119.7,-0.4,7.2,77
2026-08-27,10:48:00,9i,120,76.9,-3.5,-1.6,-0.8,2.1,28.0,2.5,5.0,97.6,1.270,21.4,7356,116.5,120.5,-2.7,3.5,89
2026-08-27,10:49:00,8i,140,80.8,-3.5,-2.7,-2.1,2.4,27.2,0.8,-7.0,106.0,1.312,21.5,7376,120.5,124.5,-1.8,19.6,37
2026-08-27,10:50:00,8i,140,80.5,-2.9,-2.2,-3.9,1.9,28.4,1.8,4.3,106.9,1.328,20.9,6967,128.5,132.5,-0.8,11.7,63
2026-08-27,10:51:00,8i,140,80.5,-2.8,-1.3,-0.3,-1.6,28.0,3.1,-6.5,103.2,1.283,18.4,6124,131.3,135.3,6.2,8.8,72
2026-08-27,10:52:00,7i,160,85.3,-4.2,-1.2,-3.9,0.3,24.1,0.6,0.3,114.2,1.338,18.3,6551,137.6,141.6,-0.1,29.4,6
2026-08-27,10:53:00,7i,160,83.6,-2.8,-2.1,-1.2,0.5,27.2,4.5,-1.3,112.0,1.340,19.0,6754,128.1,132.1,-2.6,32.0,0
2026-08-27,10:54:00,7i,160,82.7,-2.6,-0.3,2.0,0.2,23.9,2.9,7.6,110.7,1.338,18.3,6744,141.3,145.3,1.2,18.7,40
2026-08-27,10:55:00,5i,180,89.7,-2.3,-4.4,1.8,1.8,23.0,3.0,-3.6,123.7,1.378,14.1,4821,169.1,173.1,-0.5,13.0,59
2026-08-27,10:56:00,5i,180,88.4,-4.6,-0.1,-2.9,2.4,23.5,3.3,-2.1,122.8,1.390,12.2,5376,174.1,178.1,-3.5,6.6,79
2026-08-27,10:57:00,5i,180,87.5,-4.1,-1.0,0.3,0.9,21.4,2.0,5.5,121.1,1.384,14.5,5205,170.6,174.6,-1.1,11.2,64
2026-08-27,10:58:00,Driver,,94.9,-3.6,-0.9,0.9,-1.2,19.7,3.5,6.2,135.5,1.428,13.6,2670,212.7,230.7,15.8,,
2026-08-27,10:59:00,Driver,,97.9,0.7,-3.0,-5.3,2.0,23.1,1.6,2.6,140.7,1.437,10.3,2665,230.7,248.7,2.3,,
2026-08-27,11:00:00,Driver,,98.2,-1.6,-3.0,0.2,3.1,21.3,3.7,-6.0,141.5,1.442,11.3,3189,235.6,253.6,11.4,,
