TrackMan Performance Studio
Player: Test Player
Activity: Combine

Date,Time,Club,Target [yds],Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s],Distance To Pin [yds],Score
2026-08-27,14:15:00,GW,90,70.0,-4.5,-0.7,-0.5,0.3,40.4,45.0,3.5,1.5,4.3,83.3,1.189,28.6,0.2,10004,2.4,82.7,86.7,1.2,0.8,100.7,46.2,6.1,7.3,76
2026-08-27,14:16:00,GW,90,70.7,-2.8,1.4,1.1,-0.3,42.0,44.8,3.2,-1.8,0.6,83.8,1.184,27.7,1.0,10364,-2.3,82.7,86.7,0.7,-0.8,95.7,48.7,5.7,7.3,77
2026-08-27,14:17:00,PW,100,74.2,-3.8,1.6,2.0,0.4,36.9,40.7,1.1,-1.5,1.3,91.4,1.232,24.9,2.0,9874,1.6,95.3,99.3,4.0,0.6,85.4,47.2,6.2,6.2,80
2026-08-27,14:18:00,PW,100,75.5,-4.5,0.3,1.1,0.8,35.0,39.5,2.4,-3.4,2.9,85.8,1.137,24.7,1.2,8911,2.7,86.9,90.9,2.8,0.9,81.3,43.0,5.7,13.4,57
2026-08-27,14:19:00,PW,100,74.3,-4.3,-0.8,-1.4,-0.6,35.1,39.4,2.5,-1.5,-3.8,86.4,1.164,25.8,-0.7,8934,-1.6,86.6,90.6,-1.6,-0.6,88.9,42.3,5.8,13.5,57
2026-08-27,14:20:00,9 Iron,120,77.3,-3.0,-3.9,-3.0,0.8,32.7,35.6,2.0,1.3,4.2,97.4,1.261,24.3,-3.0,8236,3.4,112.8,116.8,-4.4,1.5,79.4,45.9,6.7,8.5,73
2026-08-27,14:21:00,9 Iron,120,75.9,-3.6,2.4,3.5,1.0,32.8,36.4,1.4,9.8,8.0,88.8,1.170,22.7,3.1,7993,2.9,98.4,102.4,6.4,1.1,73.6,49.8,6.4,22.6,28
2026-08-27,14:22:00,9 Iron,120,77.0,-3.8,3.9,3.2,-0.7,32.1,35.9,3.8,3.1,-1.4,91.4,1.188,24.3,3.1,8498,-2.5,102.1,106.1,4.5,-1.0,74.2,42.1,5.5,18.5,41
2026-08-27,14:23:00,8 Iron,140,79.6,-4.2,-0.5,-1.6,-1.1,30.3,34.5,3.7,-8.9,4.6,98.0,1.231,21.1,-1.0,7413,-1.3,123.4,127.4,-2.7,-0.7,76.1,47.6,6.1,16.8,46
2026-08-27,14:24:00,8 Iron,140,77.4,-2.2,-0.8,-1.0,-0.3,30.7,32.8,4.3,-8.3,1.2,95.6,1.235,21.1,-1.5,7577,-1.8,119.4,123.4,-3.9,-0.8,63.9,45.2,6.2,21.0,33
2026-08-27,14:25:00,8 Iron,140,80.2,-2.7,1.9,2.4,0.5,28.4,31.1,2.2,5.7,4.7,98.7,1.230,19.9,1.8,7750,1.9,123.1,127.1,4.7,0.9,69.5,44.0,6.3,17.6,44
2026-08-27,14:26:00,7 Iron,160,82.3,-5.9,1.3,2.7,1.4,28.8,34.7,4.3,25.2,1.9,100.3,1.219,16.3,2.2,7593,2.3,131.1,135.1,6.3,1.2,65.2,43.8,6.2,29.6,5
2026-08-27,14:27:00,7 Iron,160,86.4,-5.7,1.1,2.2,1.1,29.5,35.3,6.1,-15.2,1.1,109.0,1.262,20.8,2.1,6775,1.7,141.4,145.4,6.1,0.9,61.5,45.7,6.1,19.5,37
2026-08-27,14:28:00,7 Iron,160,78.7,-6.1,1.8,3.0,1.2,26.0,32.1,1.3,-15.7,8.8,99.4,1.264,17.5,3.1,5214,2.4,127.7,131.7,8.2,1.2,57.0,46.5,5.1,33.3,0
2026-08-27,14:29:00,5 Iron,180,85.1,-3.9,0.0,1.7,1.7,20.4,24.4,3.2,-0.1,4.3,120.3,1.413,15.5,1.9,5165,5.0,175.1,179.1,9.2,3.5,49.7,41.3,6.2,10.4,67
2026-08-27,14:30:00,5 Iron,180,85.8,-2.5,-1.0,-0.9,0.1,23.0,25.6,3.0,-2.2,3.7,117.9,1.374,15.4,-1.6,5371,0.1,165.7,169.7,-4.5,0.1,56.0,45.2,6.7,15.0,52
2026-08-27,14:31:00,5 Iron,180,86.7,-4.4,-0.9,-0.6,0.3,22.0,26.5,4.2,1.6,-2.5,116.4,1.343,14.7,-1.0,4721,1.0,165.0,169.0,-2.2,0.6,51.4,43.1,6.0,15.2,51
2026-08-27,14:32:00,Driver,98.9,0.3,-3.1,-2.0,1.2,14.5,14.1,-0.9,4.2,5.6,138.8,1.402,11.6,-2.7,2887,0.8,239.5,257.5,-10.7,0.7,43.1,44.8,6.0
2026-08-27,14:33:00,Driver,98.4,0.4,0.9,-0.8,-1.7,14.6,14.3,-0.9,-2.5,-1.5,139.6,1.418,11.3,-0.3,2737,-6.3,237.3,255.3,-7.3,-6.0,33.4,48.4,5.7
2026-08-27,14:34:00,Driver,98.9,1.7,0.7,-0.6,-1.3,15.7,14.0,-0.1,-0.8,3.5,143.3,1.449,11.5,-0.4,2815,-4.9,243.3,261.3,-6.3,-4.8,35.4,40.5,6.5
2026-08-27,14:35:00,SW,60,66.0,-4.9,0.4,-0.9,-1.3,44.5,49.3,2.1,-2.9,-3.5,73.4,1.112,30.1,-1.0,10151,-2.6,51.5,55.5,-1.4,-0.5,116.0,47.3,6.6,8.7,72
2026-08-27,14:36:00,SW,60,66.3,-2.6,-1.0,-0.7,0.3,43.1,45.7,2.4,-4.7,6.5,70.4,1.061,28.3,-0.9,10432,2.7,48.3,52.3,-0.3,0.5,106.2,47.4,6.3,11.7,63
2026-08-27,14:37:00,SW,60,64.4,-5.2,1.2,1.7,0.5,42.2,47.3,1.1,3.0,7.1,73.1,1.135,31.4,0.8,9611,3.3,49.9,53.9,1.4,0.7,98.0,51.4,5.5,10.2,67
2026-08-27,14:38:00,SW,70,64.9,-4.6,-1.7,-0.8,0.8,47.7,52.3,2.0,2.9,-2.4,72.3,1.114,29.2,-1.0,10525,3.7,59.3,63.3,-0.2,0.9,100.4,43.2,6.1,10.7,66
2026-08-27,14:39:00,SW,70,63.5,-4.6,-0.5,-0.6,-0.1,44.6,49.3,2.1,2.0,-1.5,71.5,1.127,27.7,-0.6,9785,-0.6,58.7,62.7,-0.7,-0.2,106.4,45.8,6.3,11.3,64
2026-08-27,14:40:00,SW,70,64.9,-2.8,-2.4,-1.7,0.7,45.6,48.4,2.2,0.8,2.8,75.0,1.156,29.4,-1.6,10055,1.6,62.0,66.0,-1.4,0.4,112.3,43.1,5.9,8.1,74
2026-08-27,14:41:00,GW,80,67.7,-3.6,2.4,2.7,0.3,40.4,44.0,3.2,-9.1,1.4,75.1,1.109,28.4,2.6,10280,2.4,62.1,66.1,3.4,0.6,97.2,46.2,5.3,18.3,42
2026-08-27,14:42:00,GW,80,70.3,-3.1,0.7,-1.2,-1.8,39.2,42.3,2.7,-4.2,1.3,81.5,1.160,28.5,-1.0,8718,-5.6,69.9,73.9,-2.7,-1.6,94.8,46.3,6.8,10.5,67
2026-08-27,14:43:00,GW,80,68.8,-2.7,0.8,1.0,0.2,40.5,43.1,2.9,3.5,-4.3,79.5,1.155,27.5,1.6,10015,-0.7,67.4,71.4,1.7,-0.2,103.2,43.3,6.5,12.7,59
2026-08-27,14:44:00,GW,90,69.6,-1.8,1.7,2.0,0.2,38.5,40.3,1.4,10.1,2.1,80.1,1.152,28.1,1.2,10317,0.2,78.7,82.7,1.7,0.1,96.9,43.7,6.8,11.4,63
2026-08-27,14:45:00,GW,90,70.0,-1.7,0.1,-0.4,-0.5,40.4,42.1,2.0,-5.5,1.8,76.3,1.090,28.1,-0.1,9013,0.1,73.8,77.8,-0.1,0.0,99.1,49.3,6.8,16.2,48
2026-08-27,14:46:00,GW,90,69.7,-3.2,-1.6,-4.1,-2.5,38.5,41.7,3.0,4.8,-1.0,75.2,1.078,28.3,-3.4,9552,-6.3,71.5,75.5,-6.1,-1.8,93.0,40.4,5.9,19.5,38
2026-08-27,14:47:00,PW,100,75.4,-3.7,-1.5,-1.7,-0.2,35.6,39.3,2.8,-5.8,7.8,86.0,1.140,27.0,-1.8,8958,-1.4,87.3,91.3,-3.2,-0.5,93.2,47.7,6.5,13.1,58
2026-08-27,14:48:00,PW,100,73.1,-3.6,1.1,0.9,-0.2,34.5,38.1,1.9,0.1,4.7,90.1,1.233,25.0,1.6,8558,-0.9,91.0,95.0,2.2,-0.3,85.5,39.7,5.3,9.2,70
2026-08-27,14:49:00,PW,100,75.3,-3.4,0.2,-0.1,-0.3,36.5,39.9,2.3,5.5,7.3,85.3,1.132,24.6,0.3,8661,-2.6,85.8,89.8,-0.5,-0.9,85.5,48.1,6.3,14.2,55
2026-08-27,14:50:00,9 Iron,120,74.8,-4.6,0.6,0.6,-0.0,31.9,36.5,2.3,-1.4,-1.3,94.1,1.258,21.9,0.8,7981,-2.0,107.8,111.8,0.7,-0.9,71.6,46.0,6.4,12.3,61
2026-08-27,14:51:00,9 Iron,120,76.1,-5.4,3.0,3.1,0.1,34.1,39.6,2.0,7.0,6.9,90.6,1.191,21.8,3.5,8950,-1.6,101.4,105.4,5.6,-0.6,80.5,42.6,5.7,19.4,38
2026-08-27,14:52:00,9 Iron,120,77.1,-4.1,1.5,1.2,-0.3,30.8,34.9,1.9,3.8,1.1,94.5,1.227,23.4,1.2,8768,-1.9,109.7,113.7,1.5,-0.8,78.0,46.4,5.9,10.4,67
2026-08-27,14:53:00,8 Iron,140,81.5,-4.1,1.3,0.8,-0.5,30.9,35.0,4.3,-4.9,-0.9,100.3,1.230,19.6,0.4,7860,-1.5,127.6,131.6,0.1,-0.8,70.8,42.4,5.9,12.4,60
2026-08-27,14:54:00,8 Iron,140,80.9,-4.6,-2.5,-3.7,-1.2,30.6,35.2,0.7,-6.9,1.1,98.3,1.216,18.3,-3.2,7777,-2.8,123.6,127.6,-8.2,-1.4,72.1,42.3,6.9,18.3,41
2026-08-27,14:55:00,8 Iron,140,79.3,-3.3,-0.6,-0.0,0.5,31.8,35.1,2.6,3.0,1.6,99.6,1.255,19.5,-0.0,8020,-1.1,124.4,128.4,-0.6,-0.5,74.4,50.1,5.9,15.6,50
2026-08-27,14:56:00,7 Iron,160,81.6,-6.3,6.9,12.3,5.5,28.0,34.4,1.8,-12.8,5.7,96.8,1.186,19.9,11.3,7344,12.6,118.8,122.8,29.7,6.0,54.3,46.3,6.3,50.8,0
2026-08-27,14:57:00,7 Iron,160,82.5,-6.3,-1.1,2.6,3.7,30.4,36.8,4.0,13.6,5.5,98.0,1.187,18.7,1.8,7414,9.0,124.6,128.6,8.5,4.5,57.9,46.4,5.3,36.4,0
2026-08-27,14:58:00,7 Iron,160,82.3,-2.0,3.6,5.0,1.4,30.8,32.8,0.3,0.7,0.2,105.0,1.276,16.5,5.0,7889,1.4,129.7,133.7,12.1,0.7,71.7,50.1,7.2,32.7,0
2026-08-27,14:59:00,5 Iron,180,90.2,-3.1,0.9,3.2,2.2,23.2,26.3,2.6,4.4,6.7,120.8,1.339,16.0,2.9,5278,3.5,173.2,177.2,11.2,2.4,58.5,47.5,6.0,13.1,58
2026-08-27,15:00:00,5 Iron,180,87.1,-2.9,-0.4,-2.1,-1.7,23.2,26.1,4.5,0.3,-2.6,118.2,1.357,16.0,-1.7,4797,-3.0,173.4,177.4,-7.2,-2.1,52.8,41.4,6.0,9.8,69
2026-08-27,15:01:00,5 Iron,180,86.0,-3.3,-1.4,-0.6,0.8,22.8,26.1,3.2,0.4,-1.0,117.1,1.363,15.2,-1.0,4978,2.2,171.4,175.4,-1.6,1.5,52.1,38.8,5.5,8.7,72
2026-08-27,15:02:00,Driver,99.1,4.5,0.4,0.7,0.2,13.0,8.5,-0.5,-3.1,-0.8,141.1,1.424,12.8,0.5,1990,-0.5,240.8,258.8,1.7,-0.5,39.7,45.9,6.2
2026-08-27,15:03:00,Driver,97.6,0.7,-0.4,-0.3,0.2,13.3,12.6,0.4,-3.7,0.2,135.1,1.384,9.4,-0.1,2770,-0.7,227.1,245.1,-1.1,-0.6,37.8,46.4,6.6
2026-08-27,15:04:00,Driver,98.5,2.0,0.0,-1.8,-1.8,16.0,14.0,0.6,3.3,5.6,136.5,1.386,10.9,-1.1,2771,-2.9,231.2,249.2,-7.0,-2.6,37.2,46.7,5.7
