TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-24,14:34:00,7 Iron,84.7,-1.9,-4.2,-0.6,3.6,25.8,27.7,1.8,13.2,-3.4,106.4,1.257,18.8,-1.4,7150,8.6,148.3,152.3,1.4,5.1,63.7,46.7,6.1
2026-08-24,14:35:00,7 Iron,80.4,-2.6,-3.7,-1.6,2.1,24.4,27.0,1.9,10.6,-2.4,99.9,1.243,17.4,-1.4,5328,4.8,146.5,150.5,-0.9,2.8,62.2,44.9,6.4
2026-08-24,14:36:00,7 Iron,81.0,-3.3,-1.3,3.7,5.0,27.2,30.6,1.5,1.0,-2.5,105.8,1.306,16.6,2.5,7496,11.8,154.1,158.1,14.0,7.3,59.2,43.2,5.7
2026-08-24,14:37:00,7 Iron,82.0,-3.4,-4.4,-0.8,3.7,24.9,28.4,3.0,12.7,6.8,102.8,1.255,19.2,-1.2,5474,8.7,147.7,151.7,2.0,5.1,64.1,45.4,6.0
2026-08-24,14:38:00,7 Iron,84.8,-2.6,-3.2,1.9,5.1,27.0,29.6,3.2,15.8,2.8,103.1,1.216,20.1,1.4,7050,14.3,150.6,154.6,12.2,8.6,62.1,35.8,5.9
2026-08-24,14:39:00,7 Iron,85.3,-3.3,-4.6,-0.5,4.1,27.9,31.2,0.8,9.0,5.1,105.4,1.236,18.4,-1.2,7222,10.3,151.7,155.7,3.0,6.3,55.9,42.9,7.2
2026-08-24,14:40:00,7 Iron,84.3,-2.9,-5.0,-0.9,4.1,26.4,29.3,2.1,11.8,9.0,103.2,1.224,18.2,-1.9,6016,9.0,146.6,150.6,0.3,5.3,68.2,45.8,6.4
2026-08-24,14:41:00,PW,72.0,-4.0,-1.6,-0.3,1.3,35.2,39.2,2.8,-3.3,0.7,87.9,1.221,26.0,-0.4,8397,4.6,115.4,119.4,1.3,2.1,86.2,48.3,6.2
2026-08-24,14:42:00,PW,73.6,-3.2,-1.4,0.6,2.0,36.1,39.2,1.5,-6.6,1.1,85.1,1.157,26.5,-0.2,9936,4.1,111.6,115.6,1.5,1.8,91.3,44.0,6.8
2026-08-24,14:43:00,PW,72.0,-4.8,-5.6,-6.1,-0.5,35.2,40.0,0.7,7.8,-2.9,81.4,1.130,25.1,-6.2,9275,-1.5,109.2,113.2,-12.6,-0.7,92.3,46.4,6.0
2026-08-24,14:44:00,PW,73.4,-2.9,-0.9,0.9,1.8,35.7,38.6,2.4,-9.2,-1.1,80.6,1.098,24.5,0.8,8961,2.8,105.8,109.8,2.7,1.2,80.7,47.2,6.2
2026-08-24,14:45:00,PW,77.7,-3.9,-2.7,-0.6,2.1,34.8,38.7,1.3,-2.1,4.1,91.6,1.179,24.9,-0.8,8452,5.0,118.8,122.8,0.7,2.4,94.2,47.8,5.4
2026-08-24,14:46:00,PW,74.0,-4.2,-2.2,-0.5,1.7,35.3,39.5,1.4,-0.6,5.6,91.9,1.241,25.3,-0.7,8443,4.1,121.5,125.5,0.4,2.0,82.3,44.0,6.8
2026-08-24,14:47:00,PW,72.2,-2.9,-3.4,-1.3,2.2,36.5,39.4,1.4,1.4,3.9,89.4,1.237,25.3,-1.6,9854,3.6,119.2,123.2,-1.6,1.7,92.2,49.1,6.1
2026-08-24,14:48:00,PW,75.7,-4.0,0.0,1.9,1.9,34.7,38.7,2.5,-3.3,-5.2,90.9,1.201,26.7,1.4,9316,6.5,117.4,121.4,5.9,3.0,85.7,47.5,5.6
2026-08-24,14:49:00,PW,75.1,-3.9,-5.5,-5.1,0.4,36.1,40.0,1.7,-3.3,-4.0,87.3,1.162,25.1,-5.3,9530,0.6,115.9,119.9,-10.4,0.3,94.5,43.2,5.8
2026-08-24,14:50:00,PW,72.6,-3.3,-5.0,-4.0,1.0,38.2,41.5,0.8,3.2,3.3,84.4,1.162,25.5,-3.9,9720,3.1,110.6,114.6,-6.2,1.4,82.4,46.7,6.9
