sep=,
Date,TMD No,TMD Filename,Player,Club,Ball,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Rate Type,Spin Axis,Max Height - Height,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Est. Total Flat - Length,Est. Total Flat - Side,Impact Offset,Impact Height,Curve,Spin Loft,Low Point Side,Use In Stat,Condition
"9/2/2026 5:48:00 PM",,,"Sample Player","7 Iron","Premium",78.7,-3.3,-2.4,0.5,54.102,-2.4,26.4,3.8,6.2,100.1,1.272,19.1,3.2,6165,Measured,15.7,66.6,114.7,19.8,45.6,118.7,19.8,9.3,1.6,21.60,29.8,-5,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:49:00 PM",,,"Sample Player","7 Iron","Premium",83.2,-3.7,-1.8,0.9,57.390,-1.8,28.7,-1.2,0.6,105.8,1.273,16.9,-1.2,6586,Estimated,1.7,64.1,141.6,1.8,39.5,145.6,1.8,-5.3,6.3,3.00,32.4,-4,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:50:00 PM",,,"Sample Player","7 Iron","Premium",82.8,-3.2,-3.7,-0.1,56.419,-3.7,27.6,-2.0,1.7,111.5,1.346,20.2,-2.2,6890,Estimated,2.4,65.6,183.6,-28.0,47.0,187.6,-28.0,-1.6,7.1,5.10,30.9,-6,FALSE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:52:00 PM",,,"Sample Player","7 Iron","Premium",83.0,-2.8,-2.2,4.0,56.012,-2.2,29.0,0.2,2.4,104.0,1.253,20.8,-0.6,6792,Estimated,8.1,59.0,136.1,-11.1,44.9,140.1,-11.1,-7.5,3.3,13.20,31.8,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:53:00 PM",,,"Sample Player","7 Iron","Premium",82.7,-1.6,-6.5,2.2,56.855,-6.5,23.8,-2.3,4.2,103.3,1.249,20.9,-3.4,6422,Estimated,10.1,60.0,152.9,1.9,43.2,156.9,1.9,-4.7,2.5,18.60,25.5,-12,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:55:00 PM",,,"Sample Player","7 Iron","Premium",83.5,-1.0,1.1,4.2,51.369,1.1,29.4,1.0,-0.1,115.4,1.383,19.7,0.8,6453,Estimated,-1.2,68.7,165.6,-7.9,50.2,169.6,-7.9,-0.2,-1.1,-2.40,30.4,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:56:00 PM",,,"Sample Player","7 Iron","Premium",88.7,-4.0,-4.4,1.0,52.374,-4.4,26.5,-2.9,1.5,117.8,1.328,17.0,-3.2,7360,Estimated,4.2,58.6,170.0,1.2,43.8,174.0,1.2,0.2,4.7,8.40,30.4,-3,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:57:00 PM",,,"Sample Player","7 Iron","Premium",84.6,-2.8,-1.3,2.3,58.824,-1.3,26.9,0.3,1.6,109.2,1.290,19.5,0.3,6485,Estimated,4.9,60.2,165.7,-10.9,46.7,169.7,-10.9,4.7,-0.3,9.90,29.7,0,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:59:00 PM",,,"Sample Player","7 Iron","Premium",80.5,-3.5,-2.5,1.7,57.546,-2.5,30.3,-1.2,1.3,98.9,1.229,16.8,-1.7,7383,Estimated,3.7,62.4,149.0,2.0,44.0,153.0,2.0,-4.2,2.6,6.60,33.8,-6,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:00:00 PM",,,"Sample Player","7 Iron","Premium",83.9,-2.4,-0.9,3.0,57.982,-0.9,28.0,-0.1,0.8,104.1,1.241,19.8,0.2,6808,Estimated,2.3,65.6,150.9,6.2,44.1,154.9,6.2,10.9,1.7,4.20,30.3,-9,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:02:00 PM",,,"Sample Player","7 Iron","Premium",85.3,-3.4,0.5,3.3,57.114,0.5,28.1,3.9,3.4,101.8,1.193,17.2,2.9,7498,Estimated,7.4,66.8,154.0,7.6,40.6,158.0,7.6,7.9,5.0,13.80,31.5,0,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:03:00 PM",,,"Sample Player","7 Iron","Premium",80.4,-7.2,-0.1,1.4,58.444,-0.1,27.1,0.0,0.1,102.9,1.280,20.6,0.2,7407,Estimated,0.1,63.1,140.3,15.8,43.6,144.3,15.8,11.1,1.9,0.30,34.3,-9,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:04:00 PM",,,"Sample Player","7 Iron","Premium",83.2,-4.9,-5.7,1.6,55.251,-5.7,29.5,-1.8,3.9,109.4,1.315,21.0,-2.6,6947,Estimated,11.1,63.1,160.9,-6.1,43.2,164.9,-6.1,1.7,4.5,21.30,34.4,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:06:00 PM",,,"Sample Player","7 Iron","Premium",83.9,-2.1,-0.1,2.8,55.531,-0.1,23.8,3.0,3.2,106.5,1.268,18.3,2.0,6454,Estimated,6.0,67.5,140.5,15.2,39.6,144.5,15.2,3.3,-1.5,9.90,25.9,-3,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:07:00 PM",,,"Sample Player","7 Iron","Premium",82.9,-4.4,1.4,3.0,55.584,1.4,29.8,5.7,4.2,103.3,1.246,16.4,4.7,7291,Estimated,10.9,65.7,158.5,27.0,44.8,162.5,27.0,4.9,6.3,20.70,34.2,-2,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:09:00 PM",,,"Sample Player","7 Iron","Premium",80.7,-4.5,-0.8,2.5,55.101,-0.8,27.8,1.9,2.7,100.9,1.250,18.3,1.7,6259,Estimated,8.6,54.7,164.7,10.6,53.0,168.7,10.6,4.6,4.9,17.10,32.3,-0,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:10:00 PM",,,"Sample Player","7 Iron","Premium",82.9,-3.2,0.1,4.8,60.132,0.1,28.3,2.1,2.0,99.6,1.201,19.3,2.3,7691,Estimated,5.1,61.7,122.7,8.5,45.4,126.7,8.5,5.0,2.5,7.50,31.5,-2,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:11:00 PM",,,"Sample Player","7 Iron","Premium",83.0,-5.3,-5.7,2.0,58.735,-5.7,26.8,-7.7,-2.0,104.3,1.257,19.9,-7.5,7721,Estimated,-4.5,58.1,161.9,-42.8,45.3,165.9,-42.8,-4.1,1.6,-8.70,32.1,-9,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:13:00 PM",,,"Sample Player","7 Iron","Premium",83.5,-4.1,-2.8,5.6,56.984,-2.8,27.2,-1.2,1.6,108.6,1.300,16.7,-1.6,6832,Estimated,2.7,62.7,164.0,-27.2,43.6,168.0,-27.2,-3.8,1.4,5.40,31.3,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:14:00 PM",,,"Sample Player","7 Iron","Premium",84.0,-3.3,-3.8,2.4,55.585,-3.8,31.1,-0.3,3.5,106.6,1.269,16.2,-0.7,7667,Estimated,7.3,54.8,142.6,-0.2,47.5,146.6,-0.2,19.3,-2.9,12.60,34.4,-0,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
