TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-30,14:17:00,7 Iron,84.2,-3.6,0.9,1.8,0.9,27.1,30.6,2.6,1.8,0.7,109.6,1.302,18.4,1.5,6323,4.2,157.2,161.2,6.8,2.6,69.7,41.8,6.2
2026-08-30,14:18:00,7 Iron,83.1,-3.0,-1.0,-0.0,1.0,27.1,30.1,2.6,1.9,3.3,108.3,1.304,18.5,0.1,6275,3.0,157.0,161.0,2.2,1.9,59.4,49.2,7.0
2026-08-30,14:19:00,7 Iron,83.4,-4.6,1.3,1.5,0.2,26.6,31.2,2.7,1.4,-3.3,109.4,1.312,18.5,1.2,6876,2.4,159.3,163.3,4.8,1.5,70.8,45.2,5.6
2026-08-30,14:20:00,7 Iron,81.9,-3.3,1.1,1.7,0.6,26.5,29.7,2.1,-3.5,5.4,104.8,1.279,18.9,1.6,6718,1.1,151.5,155.5,4.9,0.6,65.5,41.8,5.8
2026-08-30,14:21:00,7 Iron,84.6,-3.6,-1.3,-2.2,-0.9,28.1,31.7,1.8,-1.5,-2.7,110.0,1.301,18.9,-2.0,6858,-2.0,160.4,164.4,-6.9,-1.3,60.1,45.3,6.3
2026-08-30,14:22:00,7 Iron,83.6,-3.8,1.0,0.1,-1.0,27.4,31.2,2.7,0.6,0.7,111.7,1.335,19.0,0.2,7059,-1.6,161.2,165.2,-0.4,-1.1,58.3,39.5,5.9
2026-08-30,14:23:00,7 Iron,82.2,-4.0,-0.9,-0.5,0.4,27.7,31.7,2.7,-3.7,1.3,105.2,1.280,18.0,-0.5,7009,2.1,151.5,155.5,-0.1,1.2,63.9,47.2,7.2
2026-08-30,14:24:00,7 Iron,84.0,-3.7,-1.1,-1.0,0.2,28.3,32.0,2.9,-1.0,3.6,110.6,1.317,18.5,-0.9,6988,0.0,160.0,164.0,-2.4,0.0,65.4,38.5,6.0
2026-08-30,14:25:00,7 Iron,83.5,-4.3,-0.4,-0.2,0.2,28.4,32.7,2.4,-0.6,-0.3,110.1,1.319,18.5,-0.4,6100,1.2,160.0,164.0,-0.3,0.8,48.5,46.7,7.0
2026-08-30,14:26:00,7 Iron,82.0,-4.1,0.0,0.1,0.0,26.2,30.3,2.6,-0.8,-1.6,110.0,1.341,18.8,0.2,6353,0.4,159.2,163.2,0.8,0.3,67.0,44.9,5.9
2026-08-30,14:27:00,7 Iron,83.7,-3.6,0.6,-0.6,-1.2,27.0,30.6,3.1,-0.6,0.4,109.6,1.309,18.6,-0.1,7095,-2.6,158.7,162.7,-1.9,-1.6,60.5,43.1,6.4
2026-08-30,14:28:00,7 Iron,82.8,-3.6,-1.1,-0.9,0.2,27.5,31.1,3.8,-0.4,-1.1,110.3,1.331,18.2,-0.6,6464,1.2,159.0,163.0,-0.8,0.8,57.4,45.1,5.2
2026-08-30,14:29:00,PW,74.3,-2.9,-0.6,-0.9,-0.3,36.4,39.3,2.3,1.8,7.8,89.8,1.208,25.5,-0.9,8636,-0.2,119.6,123.6,-2.0,-0.1,88.2,47.5,5.4
2026-08-30,14:30:00,PW,73.0,-3.3,-0.8,-1.8,-1.0,35.9,39.3,2.5,-1.4,1.4,87.5,1.199,25.7,-1.7,9286,-2.6,116.0,120.0,-4.6,-1.2,88.8,43.6,6.6
2026-08-30,14:31:00,PW,74.7,-3.1,0.2,-1.2,-1.4,34.7,37.8,2.2,-2.4,1.6,89.3,1.195,26.1,-0.8,8796,-4.4,117.9,121.9,-3.8,-2.1,89.4,49.7,5.8
2026-08-30,14:32:00,PW,73.4,-2.8,0.1,-0.5,-0.6,36.7,39.5,2.5,-0.6,0.8,89.4,1.217,25.0,0.1,9104,-1.0,118.1,122.1,-0.2,-0.5,95.2,40.0,6.6
2026-08-30,14:33:00,PW,75.0,-2.9,0.2,-0.6,-0.9,35.8,38.7,2.6,-1.5,3.0,90.8,1.211,24.8,-0.5,8914,-1.1,119.4,123.4,-1.6,-0.5,87.1,42.9,7.0
2026-08-30,14:34:00,PW,73.3,-3.6,0.6,0.4,-0.3,36.4,40.0,2.8,0.3,2.9,89.3,1.218,25.4,0.8,9282,-2.2,117.6,121.6,0.6,-1.0,87.2,43.7,6.6
2026-08-30,14:35:00,PW,75.6,-3.6,-0.4,-0.6,-0.2,36.0,39.6,3.0,-1.4,-1.0,89.7,1.186,25.7,-0.9,9216,-0.4,118.2,122.2,-2.1,-0.2,94.2,48.3,5.4
2026-08-30,14:36:00,PW,73.3,-3.6,0.5,1.6,1.1,35.7,39.3,2.1,-2.2,-0.5,85.9,1.173,25.8,1.3,9429,3.3,112.7,116.7,4.1,1.5,85.2,52.1,5.3
2026-08-30,14:37:00,PW,74.0,-3.5,-0.4,-1.4,-1.0,35.9,39.5,3.1,-5.8,2.4,84.5,1.142,25.2,-1.2,9005,-3.5,111.2,115.2,-3.9,-1.5,86.6,48.5,5.9
2026-08-30,14:38:00,PW,74.2,-4.2,1.0,0.6,-0.4,36.8,41.0,2.2,-0.0,-0.8,90.9,1.225,25.3,0.9,9399,-0.2,120.0,124.0,1.7,-0.1,90.3,45.9,5.8
2026-08-30,14:39:00,PW,73.3,-2.9,0.2,0.1,-0.1,36.2,39.1,1.6,-4.4,-2.4,85.2,1.161,24.8,-0.5,9071,0.1,110.7,114.7,-0.9,0.0,82.0,43.2,6.7
2026-08-30,14:40:00,PW,74.0,-3.5,-0.1,-0.1,0.1,36.3,39.8,2.2,-2.9,-0.5,87.2,1.177,25.5,-0.6,9614,-0.1,114.7,118.7,-1.1,-0.0,77.1,43.2,6.5
